"compound_name","nM","filename","polarity"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix1InH2O_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix1InH2O_2","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix1InMatrix_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix1InMatrix_2","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix2InH2O_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix2InH2O_2","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix2InMatrix_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_4uMStdsMix2InMatrix_2","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_H2OinMatrix_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"190715_Std_H2OinMatrix_2","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"170706_Blk_Blk0p2_1","pos"
"(3-Carboxypropyl)trimethylammonium",Inf,"170706_Blk_Blk0p2_2","pos"
"(3-Carboxypropyl)trimethylammonium",0.00144972259158449,"190715_Blk_KM1906U14-Blk_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.013067669571321,"190715_Poo_TruePooFK180310_Full1","pos"
"(3-Carboxypropyl)trimethylammonium",0.0133835198132147,"190715_Poo_TruePooFK180310_Full2","pos"
"(3-Carboxypropyl)trimethylammonium",0.011783712437351,"190715_Poo_TruePooFK180310_Full3","pos"
"(3-Carboxypropyl)trimethylammonium",0.0124587959643171,"190715_Poo_TruePooFK180310_Half1","pos"
"(3-Carboxypropyl)trimethylammonium",0.0133778457018507,"190715_Poo_TruePooFK180310_Half2","pos"
"(3-Carboxypropyl)trimethylammonium",0.0127302842537708,"190715_Poo_TruePooFK180310_Half3","pos"
"(3-Carboxypropyl)trimethylammonium",0.0291984533151004,"190715_Smp_FK180310S62C1-25m_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.0153091952585501,"190715_Smp_FK180310S62C1-25m_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0202553913416679,"190715_Smp_FK180310S62C1-25m_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.00682619819940297,"190715_Smp_FK180310S62C1-DCM_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.0201438284556541,"190715_Smp_FK180310S62C1-DCM_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0106804925007237,"190715_Smp_FK180310S62C1-DCM_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.0131428146232804,"190715_Smp_FK180310S64C1-25m_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.0240333853517006,"190715_Smp_FK180310S64C1-25m_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0178452983739972,"190715_Smp_FK180310S64C1-25m_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.00805678474192857,"190715_Smp_FK180310S64C1-DCM_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.00894508256940911,"190715_Smp_FK180310S64C1-DCM_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0113565412336526,"190715_Smp_FK180310S64C1-DCM_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.00693975810814129,"190715_Smp_FK180310S77C1-25m_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.00912182744571622,"190715_Smp_FK180310S77C1-25m_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0093764889904914,"190715_Smp_FK180310S77C1-25m_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.0113056554625343,"190715_Smp_FK180310S77C1-DCM_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.00914923883711382,"190715_Smp_FK180310S77C1-DCM_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.00911268475676251,"190715_Smp_FK180310S77C1-DCM_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.00880155312134073,"190715_Smp_FK180310S80C1-25m_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.0171676815256479,"190715_Smp_FK180310S80C1-25m_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0157964421200009,"190715_Smp_FK180310S80C1-25m_C","pos"
"(3-Carboxypropyl)trimethylammonium",0.00606082731699403,"190715_Smp_FK180310S80C1-DCM_A","pos"
"(3-Carboxypropyl)trimethylammonium",0.0113666325416382,"190715_Smp_FK180310S80C1-DCM_B","pos"
"(3-Carboxypropyl)trimethylammonium",0.0139889288304701,"190715_Smp_FK180310S80C1-DCM_C","pos"
"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,"190715_Std_4uMStdsMix1InH2O_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,"190715_Std_4uMStdsMix1InH2O_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.076234534495287,"190715_Std_4uMStdsMix1InMatrix_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0605905280484084,"190715_Std_4uMStdsMix1InMatrix_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",1.02103413976605,"190715_Std_4uMStdsMix2InH2O_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",1.04417354779557,"190715_Std_4uMStdsMix2InH2O_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.403723778318773,"190715_Std_4uMStdsMix2InMatrix_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.386446691967957,"190715_Std_4uMStdsMix2InMatrix_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0667421210074537,"190715_Std_H2OinMatrix_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0834283492792759,"190715_Std_H2OinMatrix_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,"170706_Blk_Blk0p2_1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,"170706_Blk_Blk0p2_2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,"190715_Blk_KM1906U14-Blk_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0574965746146695,"190715_Poo_TruePooFK180310_Full1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0580617303756618,"190715_Poo_TruePooFK180310_Full2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0584413941862635,"190715_Poo_TruePooFK180310_Full3","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0549265199555945,"190715_Poo_TruePooFK180310_Half1","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0394253144740712,"190715_Poo_TruePooFK180310_Half2","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0472611557850328,"190715_Poo_TruePooFK180310_Half3","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.109445455302234,"190715_Smp_FK180310S62C1-25m_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0487078158570628,"190715_Smp_FK180310S62C1-25m_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0653757648630144,"190715_Smp_FK180310S62C1-25m_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.113187854515981,"190715_Smp_FK180310S62C1-DCM_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.517581858524535,"190715_Smp_FK180310S62C1-DCM_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.121224894280818,"190715_Smp_FK180310S62C1-DCM_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0424034851651516,"190715_Smp_FK180310S64C1-25m_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.075901754007117,"190715_Smp_FK180310S64C1-25m_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0515561590534428,"190715_Smp_FK180310S64C1-25m_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0917611639303564,"190715_Smp_FK180310S64C1-DCM_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.112642631337016,"190715_Smp_FK180310S64C1-DCM_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.116718114709247,"190715_Smp_FK180310S64C1-DCM_C","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0270536762059389,"190715_Smp_FK180310S77C1-25m_A","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0276402829005302,"190715_Smp_FK180310S77C1-25m_B","neg"
"(R)-2,3-Dihydroxypropane-1-sulfonate",0.0149133166233822,"190715_Smp_FK180310S77C1-25m_C","neg"
